Employee,JobFamily,Total Benefits,Total Compensation,Percentage 
23860,Nursing,19474.8775,59658.16,32.6441135630063
12389,Nursing,5232.38,16029.45,32.642292779852085
20096,Street Transit,28578.691250000003,87559.66375,32.63910575490304
7489,"Clerical, Secretarial & Steno",29626.8375,90772.50000000003,32.63856068743286
20358,Street Transit,36936.933750000004,113179.45125,32.63572436697073
54175,Street Transit,35110.8525,107584.76125,32.635525786418015
7452,Agriculture & Horticulture,22236.414,68136.992,32.63486301244411
22467,Street Transit,38119.316249999996,116808.79749999999,32.633942875749575
33476,Housekeeping & Laundry,16153.11,49498.28250000001,32.63367774427324
12863,Nursing,29401.818750000002,90098.71625000001,32.63289420064295
1333,Street Transit,33502.25,102667.82875000002,32.63169233039809
47822,Street Transit,10013.121000000001,30687.233,32.62959876506299
23275,Housekeeping & Laundry,16653.793333333335,51039.21333333334,32.629408342500575
16272,Street Transit,31868.86125,97672.84,32.62817099410645
25838,Street Transit,37519.74,114996.72125,32.62679108775025
25024,Park & Zoo,17215.24,52765.719999999994,32.62580326772762
11219,Semi-Skilled & General Labor,26020.631249999995,79759.33625,32.62393153378329
40036,Correction & Detention,8364.29,25640.77,32.62105623193064
28348,Street Transit,25695.741250000003,78771.57375000001,32.620576213890864
27825,Street Transit,36789.68625,112781.86875000001,32.62021338868797
49529,Street Transit,27818.165,85279.33875,32.62005241568551
13625,Housekeeping & Laundry,29156.74625,89382.90624999999,32.620047247568664
18050,Street Transit,38097.67125,116792.43999999999,32.61998058264731
6813,Computer Operatns & Repro Svcs,14947.067000000001,45821.944,32.61988840979772
50564,Street Transit,30115.926249999997,92325.91625,32.61914690177797
18995,Street Transit,27772.3725,85148.3475,32.616455063910664
14136,Housekeeping & Laundry,17055.034,52291.695999999996,32.61518616646131
2904,Purchasing & Storekeeping,20346.028,62389.59300000001,32.611252969706015
27725,Street Transit,25456.440000000002,78084.17166666668,32.60128071623905
5130,Personnel,4915.525,15077.875,32.600913590277145
54955,Street Transit,38362.92875,117682.81625,32.59858148576556
16918,"Clerical, Secretarial & Steno",22762.923333333336,69833.54833333334,32.59597124390715
18416,Street Transit,38546.042499999996,118254.4675,32.59584463479149
51651,Protection & Apprehension,21814.62,66927.045,32.59462598415932
50342,Street Transit,37131.643749999996,113919.93625,32.59450889132673
18585,Correction & Detention,10790.869999999999,33106.41,32.5945036021725
19193,Street Transit,38812.23499999999,119078.73874999999,32.59375721259896
20812,Street Transit,38940.48125,119473.56875,32.59338584878423
11068,Semi-Skilled & General Labor,23809.85666666667,73055.05,32.591664322543984
20474,Street Transit,35659.915,109416.37625,32.59102176672571
12936,Street Transit,37979.0625,116541.58499999999,32.588421120237896
43470,Street Transit,23767.667500000003,72932.9025,32.588402059002114
43558,Street Transit,17350.841428571428,53244.898571428566,32.58686164139293
11314,Street Transit,26612.89285714286,81671.3442857143,32.585349353430324
31731,Correction & Detention,28410.437499999996,87189.5625,32.58467720835277
51923,Street Transit,26178.2,80341.46999999999,32.58367067468395
14436,Street Transit,27919.515000000003,85686.01333333332,32.58351499140039
25871,Street Transit,30480.269999999997,93546.575,32.582988741169835
25804,Street Transit,39277.479999999996,120553.25249999999,32.58102057428936
22886,Street Transit,21776.62375,66840.01375,32.580220332465146
30194,Street Transit,39346.01625,120772.96875,32.578495550147686
43834,Street Transit,36416.87,111787.50875000001,32.576868746079825
4289,Housekeeping & Laundry,21162.4425,64962.517500000016,32.57638914624883
2343,Street Transit,33995.32,104357.35,32.57587510606584
19230,Street Transit,39681.64875,121828.86125,32.57163232328907
43597,"Clerical, Secretarial & Steno",21625.508,66395.406,32.57078961155837
2124,Semi-Skilled & General Labor,28661.676249999997,87999.89125,32.57012689774204
8710,Street Transit,37851.13375,116215.10625,32.56989127435402
36479,Street Transit,34395.9425,105609.57750000001,32.56896137095141
45416,Street Transit,37145.636249999996,114054.29999999999,32.56837861439683
10944,Correction & Detention,15879.58714285714,48758.78142857143,32.567645617066425
23766,Correction & Detention,18057.993333333336,55453.11000000001,32.564437473990786
16003,Street Transit,32788.73,100698.50625,32.56128737262178
43199,Correction & Detention,7856.776666666668,24129.61333333333,32.560723448531576
27017,Street Transit,29661.701250000002,91097.90624999999,32.56024476413255
18094,Street Transit,26814.362500000003,82353.96,32.55989450901936
46246,Agriculture & Horticulture,14680.072500000002,45086.60124999999,32.55972305075891
25941,"Clerical, Secretarial & Steno",12980.799999999997,39869.450000000004,32.55826202769288
38268,Street Transit,27725.09375,85157.7175,32.557347195220444
20068,"Clerical, Secretarial & Steno",17223.075714285715,52903.97142857143,32.55535501250514
5769,Nursing,19955.484000000004,61298.17,32.554779367801686
37801,Street Transit,34514.21875000001,106024.45625,32.55307310288612
23425,Street Transit,38454.542499999996,118130.07625,32.55271114751354
29556,Street Transit,37654.447499999995,115682.12999999999,32.54992581827461
14254,Street Transit,28039.8525,86144.35125,32.54984464230903
26425,Housekeeping & Laundry,27421.467500000002,84248.58125,32.54828401042065
39503,Street Transit,30519.4725,93770.05624999998,32.547141081617944
7016,Street Transit,28558.13875,87755.32625,32.54291217451886
41873,Street Transit,36892.72125,113367.14375,32.54269273234645
45704,Semi-Skilled & General Labor,26203.775999999998,80522.67199999999,32.542109382559985
23862,Street Transit,17499.088,53777.58500000001,32.53974309184765
43970,Street Transit,22448.493333333332,68991.66166666667,32.53798037477814
39234,Street Transit,39369.496250000004,120996.80500000001,32.537632915183174
44437,Street Transit,40014.94875,122983.18625,32.53692636378577
2298,Street Transit,27271.43,83816.90285714286,32.536909704813716
47414,Street Transit,35312.346249999995,108536.28375,32.53506111498865
53710,Street Transit,32867.284999999996,101030.47125,32.532051561622296
28774,Street Transit,12628.109999999999,38818.056000000004,32.531536355143594
42772,Human Services,21210.14875,65203.14874999999,32.52933202861618
21547,Purchasing & Storekeeping,29619.79375,91056.01749999999,32.52919967645192
31031,Street Transit,39022.99125,119965.20000000001,32.528592666873394
43780,Street Transit,656.8499999999999,2019.31,32.528437931768764
45742,Street Transit,34675.84125,106604.1825,32.52765551670545
22978,Street Transit,32435.433749999997,99728.25,32.52381722330433
51138,Street Transit,34050.47375,104694.9725,32.52350417303944
36053,Agriculture & Horticulture,22187.419090909094,68223.73181818183,32.52155591552686
30542,Street Transit,21285.722999999998,65453.476,32.520385930305665
21908,Street Transit,33509.84625,103042.8175,32.52031249048484
14391,Correction & Detention,21392.965,65785.185,32.51942667638618
45604,Street Transit,24825.116249999995,76341.6475,32.51844447030043
51448,Dietary & Food,14432.3125,44382.27,32.51819363903649
